level,verb,tense,1s,2s,3s,1p,2p,3p
C2,Abet,Present Simple,I abet,you abet,he/she/it abets,we abet,you abet,they abet
C2,Abet,Present Continuous,I am abetting,you are abetting,he/she/it is abetting,we are abetting,you are abetting,they are abetting
C2,Abet,Present Perfect,I have abetted,you have abetted,he/she/it has abetted,we have abetted,you have abetted,they have abetted
C2,Abet,Present Perfect Continuous,I have been abetting,you have been abetting,he/she/it has been abetting,we have been abetting,you have been abetting,they have been abetting
C2,Abet,Past Simple,I abetted,you abetted,he/she/it abetted,we abetted,you abetted,they abetted
C2,Abet,Past Continuous,I was abetting,you were abetting,he/she/it was abetting,we were abetting,you were abetting,they were abetting
C2,Abet,Past Perfect Simple,I had abetted,you had abetted,he/she/it had abetted,we had abetted,you had abetted,they had abetted
C2,Abet,Past Perfect Continuous,I had been abetting,you had been abetting,he/she/it had been abetting,we had been abetting,you had been abetting,they had been abetting
C2,Abet,Future Simple,I will abet,you will abet,he/she/it will abet,we will abet,you will abet,they will abet
C2,Abet,Future Continuous,I will be abetting,you will be abetting,he/she/it will be abetting,we will be abetting,you will be abetting,they will be abetting
C2,Abet,Future Perfect Simple,I will have abetted,you will have abetted,he/she/it will have abetted,we will have abetted,you will have abetted,they will have abetted
C2,Abet,Future Perfect Continuous,I will have been abetting,you will have been abetting,he/she/it will have been abetting,we will have been abetting,you will have been abetting,they will have been abetting
C2,Abet,First Conditional,If I abet,you will abet,he/she/it will abet,we will abet,you will abet,they will abet
C2,Abet,Second Conditional,If I abetted,you would abet,he/she/it would abet,we would abet,you would abet,they would abet
C2,Abet,Third Conditional,If I had abetted,you would have abetted,he/she/it would have abetted,we would have abetted,you would have abetted,they would have abetted
C2,Abet,Mixed Conditional,If I had abetted,you would abet,he/she/it would abet,we would abet,you would abet,they would abet
C2,Accrete,Present Simple,I accrete,you accrete,he/she/it accretes,we accrete,you accrete,they accrete
C2,Accrete,Present Continuous,I am accreting,you are accreting,he/she/it is accreting,we are accreting,you are accreting,they are accreting
C2,Accrete,Present Perfect,I have accreted,you have accreted,he/she/it has accreted,we have accreted,you have accreted,they have accreted
C2,Accrete,Present Perfect Continuous,I have been accreting,you have been accreting,he/she/it has been accreting,we have been accreting,you have been accreting,they have been accreting
C2,Accrete,Past Simple,I accreted,you accreted,he/she/it accreted,we accreted,you accreted,they accreted
C2,Accrete,Past Continuous,I was accreting,you were accreting,he/she/it was accreting,we were accreting,you were accreting,they were accreting
C2,Accrete,Past Perfect Simple,I had accreted,you had accreted,he/she/it had accreted,we had accreted,you had accreted,they had accreted
C2,Accrete,Past Perfect Continuous,I had been accreting,you had been accreting,he/she/it had been accreting,we had been accreting,you had been accreting,they had been accreting
C2,Accrete,Future Simple,I will accrete,you will accrete,he/she/it will accrete,we will accrete,you will accrete,they will accrete
C2,Accrete,Future Continuous,I will be accreting,you will be accreting,he/she/it will be accreting,we will be accreting,you will be accreting,they will be accreting
C2,Accrete,Future Perfect Simple,I will have accreted,you will have accreted,he/she/it will have accreted,we will have accreted,you will have accreted,they will have accreted
C2,Accrete,Future Perfect Continuous,I will have been accreting,you will have been accreting,he/she/it will have been accreting,we will have been accreting,you will have been accreting,they will have been accreting
C2,Accrete,First Conditional,If I accrete,you will accrete,he/she/it will accrete,we will accrete,you will accrete,they will accrete
C2,Accrete,Second Conditional,If I accreted,you would accrete,he/she/it would accrete,we would accrete,you would accrete,they would accrete
C2,Accrete,Third Conditional,If I had accreted,you would have accreted,he/she/it would have accreted,we would have accreted,you would have accreted,they would have accreted
C2,Accrete,Mixed Conditional,If I had accreted,you would accrete,he/she/it would accrete,we would accrete,you would accrete,they would accrete
C2,Adduce,Present Simple,I adduce,you adduce,he/she/it adduces,we adduce,you adduce,they adduce
C2,Adduce,Present Continuous,I am adducing,you are adducing,he/she/it is adducing,we are adducing,you are adducing,they are adducing
C2,Adduce,Present Perfect,I have adduced,you have adduced,he/she/it has adduced,we have adduced,you have adduced,they have adduced
C2,Adduce,Present Perfect Continuous,I have been adducing,you have been adducing,he/she/it has been adducing,we have been adducing,you have been adducing,they have been adducing
C2,Adduce,Past Simple,I adduced,you adduced,he/she/it adduced,we adduced,you adduced,they adduced
C2,Adduce,Past Continuous,I was adducing,you were adducing,he/she/it was adducing,we were adducing,you were adducing,they were adducing
C2,Adduce,Past Perfect Simple,I had adduced,you had adduced,he/she/it had adduced,we had adduced,you had adduced,they had adduced
C2,Adduce,Past Perfect Continuous,I had been adducing,you had been adducing,he/she/it had been adducing,we had been adducing,you had been adducing,they had been adducing
C2,Adduce,Future Simple,I will adduce,you will adduce,he/she/it will adduce,we will adduce,you will adduce,they will adduce
C2,Adduce,Future Continuous,I will be adducing,you will be adducing,he/she/it will be adducing,we will be adducing,you will be adducing,they will be adducing
C2,Adduce,Future Perfect Simple,I will have adduced,you will have adduced,he/she/it will have adduced,we will have adduced,you will have adduced,they will have adduced
C2,Adduce,Future Perfect Continuous,I will have been adducing,you will have been adducing,he/she/it will have been adducing,we will have been adducing,you will have been adducing,they will have been adducing
C2,Adduce,First Conditional,If I adduce,you will adduce,he/she/it will adduce,we will adduce,you will adduce,they will adduce
C2,Adduce,Second Conditional,If I adduced,you would adduce,he/she/it would adduce,we would adduce,you would adduce,they would adduce
C2,Adduce,Third Conditional,If I had adduced,you would have adduced,he/she/it would have adduced,we would have adduced,you would have adduced,they would have adduced
C2,Adduce,Mixed Conditional,If I had adduced,you would adduce,he/she/it would adduce,we would adduce,you would adduce,they would adduce
C2,Adorn,Present Simple,I adorn,you adorn,he/she/it adorns,we adorn,you adorn,they adorn
C2,Adorn,Present Continuous,I am adorning,you are adorning,he/she/it is adorning,we are adorning,you are adorning,they are adorning
C2,Adorn,Present Perfect,I have adorned,you have adorned,he/she/it has adorned,we have adorned,you have adorned,they have adorned
C2,Adorn,Present Perfect Continuous,I have been adorning,you have been adorning,he/she/it has been adorning,we have been adorning,you have been adorning,they have been adorning
C2,Adorn,Past Simple,I adorned,you adorned,he/she/it adorned,we adorned,you adorned,they adorned
C2,Adorn,Past Continuous,I was adorning,you were adorning,he/she/it was adorning,we were adorning,you were adorning,they were adorning
C2,Adorn,Past Perfect Simple,I had adorned,you had adorned,he/she/it had adorned,we had adorned,you had adorned,they had adorned
C2,Adorn,Past Perfect Continuous,I had been adorning,you had been adorning,he/she/it had been adorning,we had been adorning,you had been adorning,they had been adorning
C2,Adorn,Future Simple,I will adorn,you will adorn,he/she/it will adorn,we will adorn,you will adorn,they will adorn
C2,Adorn,Future Continuous,I will be adorning,you will be adorning,he/she/it will be adorning,we will be adorning,you will be adorning,they will be adorning
C2,Adorn,Future Perfect Simple,I will have adorned,you will have adorned,he/she/it will have adorned,we will have adorned,you will have adorned,they will have adorned
C2,Adorn,Future Perfect Continuous,I will have been adorning,you will have been adorning,he/she/it will have been adorning,we will have been adorning,you will have been adorning,they will have been adorning
C2,Adorn,First Conditional,If I adorn,you will adorn,he/she/it will adorn,we will adorn,you will adorn,they will adorn
C2,Adorn,Second Conditional,If I adorned,you would adorn,he/she/it would adorn,we would adorn,you would adorn,they would adorn
C2,Adorn,Third Conditional,If I had adorned,you would have adorned,he/she/it would have adorned,we would have adorned,you would have adorned,they would have adorned
C2,Adorn,Mixed Conditional,If I had adorned,you would adorn,he/she/it would adorn,we would adorn,you would adorn,they would adorn
C2,Aggrieve,Present Simple,I aggrieve,you aggrieve,he/she/it aggrieves,we aggrieve,you aggrieve,they aggrieve
C2,Aggrieve,Present Continuous,I am aggrieving,you are aggrieving,he/she/it is aggrieving,we are aggrieving,you are aggrieving,they are aggrieving
C2,Aggrieve,Present Perfect,I have aggrieved,you have aggrieved,he/she/it has aggrieved,we have aggrieved,you have aggrieved,they have aggrieved
C2,Aggrieve,Present Perfect Continuous,I have been aggrieving,you have been aggrieving,he/she/it has been aggrieving,we have been aggrieving,you have been aggrieving,they have been aggrieving
C2,Aggrieve,Past Simple,I aggrieved,you aggrieved,he/she/it aggrieved,we aggrieved,you aggrieved,they aggrieved
C2,Aggrieve,Past Continuous,I was aggrieving,you were aggrieving,he/she/it was aggrieving,we were aggrieving,you were aggrieving,they were aggrieving
C2,Aggrieve,Past Perfect Simple,I had aggrieved,you had aggrieved,he/she/it had aggrieved,we had aggrieved,you had aggrieved,they had aggrieved
C2,Aggrieve,Past Perfect Continuous,I had been aggrieving,you had been aggrieving,he/she/it had been aggrieving,we had been aggrieving,you had been aggrieving,they had been aggrieving
C2,Aggrieve,Future Simple,I will aggrieve,you will aggrieve,he/she/it will aggrieve,we will aggrieve,you will aggrieve,they will aggrieve
C2,Aggrieve,Future Continuous,I will be aggrieving,you will be aggrieving,he/she/it will be aggrieving,we will be aggrieving,you will be aggrieving,they will be aggrieving
C2,Aggrieve,Future Perfect Simple,I will have aggrieved,you will have aggrieved,he/she/it will have aggrieved,we will have aggrieved,you will have aggrieved,they will have aggrieved
C2,Aggrieve,Future Perfect Continuous,I will have been aggrieving,you will have been aggrieving,he/she/it will have been aggrieving,we will have been aggrieving,you will have been aggrieving,they will have been aggrieving
C2,Aggrieve,First Conditional,If I aggrieve,you will aggrieve,he/she/it will aggrieve,we will aggrieve,you will aggrieve,they will aggrieve
C2,Aggrieve,Second Conditional,If I aggrieved,you would aggrieve,he/she/it would aggrieve,we would aggrieve,you would aggrieve,they would aggrieve
C2,Aggrieve,Third Conditional,If I had aggrieved,you would have aggrieved,he/she/it would have aggrieved,we would have aggrieved,you would have aggrieved,they would have aggrieved
C2,Aggrieve,Mixed Conditional,If I had aggrieved,you would aggrieve,he/she/it would aggrieve,we would aggrieve,you would aggrieve,they would aggrieve
C2,Alight,Present Simple,I alight,you alight,he/she/it alights,we alight,you alight,they alight
C2,Alight,Present Continuous,I am alighting,you are alighting,he/she/it is alighting,we are alighting,you are alighting,they are alighting
C2,Alight,Present Perfect,I have alighted,you have alighted,he/she/it has alighted,we have alighted,you have alighted,they have alighted
C2,Alight,Present Perfect Continuous,I have been alighting,you have been alighting,he/she/it has been alighting,we have been alighting,you have been alighting,they have been alighting
C2,Alight,Past Simple,I alighted,you alighted,he/she/it alighted,we alighted,you alighted,they alighted
C2,Alight,Past Continuous,I was alighting,you were alighting,he/she/it was alighting,we were alighting,you were alighting,they were alighting
C2,Alight,Past Perfect Simple,I had alighted,you had alighted,he/she/it had alighted,we had alighted,you had alighted,they had alighted
C2,Alight,Past Perfect Continuous,I had been alighting,you had been alighting,he/she/it had been alighting,we had been alighting,you had been alighting,they had been alighting
C2,Alight,Future Simple,I will alight,you will alight,he/she/it will alight,we will alight,you will alight,they will alight
C2,Alight,Future Continuous,I will be alighting,you will be alighting,he/she/it will be alighting,we will be alighting,you will be alighting,they will be alighting
C2,Alight,Future Perfect Simple,I will have alighted,you will have alighted,he/she/it will have alighted,we will have alighted,you will have alighted,they will have alighted
C2,Alight,Future Perfect Continuous,I will have been alighting,you will have been alighting,he/she/it will have been alighting,we will have been alighting,you will have been alighting,they will have been alighting
C2,Alight,First Conditional,If I alight,you will alight,he/she/it will alight,we will alight,you will alight,they will alight
C2,Alight,Second Conditional,If I alighted,you would alight,he/she/it would alight,we would alight,you would alight,they would alight
C2,Alight,Third Conditional,If I had alighted,you would have alighted,he/she/it would have alighted,we would have alighted,you would have alighted,they would have alighted
C2,Alight,Mixed Conditional,If I had alighted,you would alight,he/she/it would alight,we would alight,you would alight,they would alight
C2,Allay,Present Simple,I allay,you allay,he/she/it allays,we allay,you allay,they allay
C2,Allay,Present Continuous,I am allaying,you are allaying,he/she/it is allaying,we are allaying,you are allaying,they are allaying
C2,Allay,Present Perfect,I have allayed,you have allayed,he/she/it has allayed,we have allayed,you have allayed,they have allayed
C2,Allay,Present Perfect Continuous,I have been allaying,you have been allaying,he/she/it has been allaying,we have been allaying,you have been allaying,they have been allaying
C2,Allay,Past Simple,I allayed,you allayed,he/she/it allayed,we allayed,you allayed,they allayed
C2,Allay,Past Continuous,I was allaying,you were allaying,he/she/it was allaying,we were allaying,you were allaying,they were allaying
C2,Allay,Past Perfect Simple,I had allayed,you had allayed,he/she/it had allayed,we had allayed,you had allayed,they had allayed
C2,Allay,Past Perfect Continuous,I had been allaying,you had been allaying,he/she/it had been allaying,we had been allaying,you had been allaying,they had been allaying
C2,Allay,Future Simple,I will allay,you will allay,he/she/it will allay,we will allay,you will allay,they will allay
C2,Allay,Future Continuous,I will be allaying,you will be allaying,he/she/it will be allaying,we will be allaying,you will be allaying,they will be allaying
C2,Allay,Future Perfect Simple,I will have allayed,you will have allayed,he/she/it will have allayed,we will have allayed,you will have allayed,they will have allayed
