category,level,en,it
adjectives,B2,abundant,abbondante
adjectives,B2,adequate,adeguato
adjectives,B2,adventurous,avventuroso
adjectives,B2,aggressive,aggressivo
adjectives,B2,altruistic,altruista
adjectives,B2,ambivalent,ambivalente
adjectives,B2,anxious,ansioso
adjectives,B2,assertive,assertivo
adjectives,B2,astonishing,stupefacente
adjectives,B2,authentic,autentico
adjectives,B2,beneficial,benefico
adjectives,B2,blatant,clamoroso
adjectives,B2,brilliant,brillante
adjectives,B2,calculating,calcolatore
adjectives,B2,candid,franco
adjectives,B2,capricious,capriccioso
adjectives,B2,caustic,caustico
adjectives,B2,challenging,sfida
adjectives,B2,coherent,coerente
adjectives,B2,compassionate,compassionevole
adjectives,B2,complex,complesso
adjectives,B2,comprehensive,comprensivo
adjectives,B2,conscientious,coscienzioso
adjectives,B2,constant,coerente/stabile
adjectives,B2,conventional,convenzionale
adjectives,B2,convincing,convincente
adjectives,B2,courageous,coraggioso
adjectives,B2,credible,credibile
adjectives,B2,critical,critico
adjectives,B2,curious,curioso
adjectives,B2,deceptive,ingannevole
adjectives,B2,deliberate,deliberato
adjectives,B2,dependable,affidabile
adjectives,B2,desperate,disperato
adjectives,B2,diligent,diligente
adjectives,B2,disastrous,disastroso
adjectives,B2,distinctive,distintivo
adjectives,B2,distraught,angosciato
adjectives,B2,diverse,vario
adjectives,B2,dynamic,dinamico
adjectives,B2,efficient,efficiente
adjectives,B2,elaborate,elaborato
adjectives,B2,empathetic,empatico
adjectives,B2,encouraging,incoraggiante
adjectives,B2,enduring,durevole/resistente
adjectives,B2,energetic,energico
adjectives,B2,enormous,enorme
adjectives,B2,enthusiastic,entusiasta
adjectives,B2,environmental,ambientale
adjectives,B2,equitable,giusto/equo
adjectives,B2,essential,essenziale
adjectives,B2,ethical,etico
adjectives,B2,exceptional,eccezionale
adjectives,B2,exclusive,esclusivo
adjectives,B2,exotic,esotico
adjectives,B2,explicit,esplicito
adjectives,B2,extraordinary,straordinario
adjectives,B2,fabulous,straordinario
adjectives,B2,fair,equo
adjectives,B2,faithful,fedele
adjectives,B2,fascinating,affascinante
adjectives,B2,flexible,flessibile
adjectives,B2,forbidding,minaccioso
adjectives,B2,formidable,formidabile
adjectives,B2,fortunate,fortunato
adjectives,B2,frustrating,frustrante
adjectives,B2,genuine,genuino
adjectives,B2,graceful,agile/elegante
adjectives,B2,hazardous,pericoloso
adjectives,B2,humble,umile
adjectives,B2,ideal,ideale
adjectives,B2,ignorant,ignorante
adjectives,B2,imaginative,immaginativo
adjectives,B2,impressive,impressionante
adjectives,B2,inadequate,inadeguato
adjectives,B2,incapable,incapace
adjectives,B2,inconsistent,incoerente
adjectives,B2,incredible,incredibile
adjectives,B2,independent,indipendente
adjectives,B2,indignant,indignato
adjectives,B2,indispensable,indispensabile
adjectives,B2,inevitable,inevitabile
adjectives,B2,influential,influente
adjectives,B2,ingenious,ingegnoso
adjectives,B2,innovative,innovativo
adjectives,B2,insightful,penetrante
adjectives,B2,intense,intenso
adjectives,B2,intent,determinato
adjectives,B2,intolerant,intollerante
adjectives,B2,invaluable,preziosissimo
adjectives,B2,invisible,invisibile
adjectives,B2,irritable,irritabile
adjectives,B2,isolated,isolato
adjectives,B2,legendary,leggendario
adjectives,B2,logical,logico (solo se usato in contesti complessi)
adjectives,B2,luxurious,lussuoso
adjectives,B2,magnetic,magnetico
adjectives,B2,meaningful,significativo
adjectives,B2,meticulous,meticoloso
adjectives,B2,moderate,moderato
verbs,B2,acquire,acquisire
verbs,B2,adapt,adattare
verbs,B2,analyze,analizzare
verbs,B2,anticipate,anticipare
verbs,B2,assess,valutare
verbs,B2,assume,assumere
verbs,B2,clarify,chiarire
verbs,B2,collaborate,collaborare
verbs,B2,compile,compilare
verbs,B2,conclude,concludere
verbs,B2,contribute,contribuire
verbs,B2,convert,convertire
verbs,B2,convince,convincere
verbs,B2,coordinate,coordinare
verbs,B2,create,creare
verbs,B2,criticize,criticare
verbs,B2,debate,discutere
verbs,B2,define,definire
verbs,B2,demonstrate,dimostrare
verbs,B2,describe,descrivere
verbs,B2,determine,determinare
verbs,B2,develop,sviluppare
verbs,B2,distribute,distribuire
verbs,B2,elaborate,elaborare
verbs,B2,emphasize,mettere in evidenza
verbs,B2,encourage,incoraggiare
verbs,B2,enhance,migliorare
verbs,B2,establish,stabilire
verbs,B2,evaluate,valutare
verbs,B2,examine,esaminare
verbs,B2,expand,espandere
verbs,B2,explain,spiegare
verbs,B2,explore,esplorare
verbs,B2,facilitate,facilitare
verbs,B2,forecast,prevedere
verbs,B2,formulate,formulare
verbs,B2,generate,generare
verbs,B2,highlight,evidenziare
verbs,B2,identify,identificare
verbs,B2,illustrate,illustrare
verbs,B2,implement,implementare
verbs,B2,improve,migliorare
verbs,B2,increase,aumentare
verbs,B2,initiate,iniziare
verbs,B2,innovate,innovare
verbs,B2,integrate,integrare
verbs,B2,interpret,interpretare
verbs,B2,investigate,indagare
verbs,B2,justify,giustificare
verbs,B2,manage,gestire
verbs,B2,modify,modificare
verbs,B2,monitor,monitorare
verbs,B2,negotiate,negoziare
verbs,B2,observe,osservare
verbs,B2,organize,organizzare
verbs,B2,outline,delineare
verbs,B2,participate,partecipare
verbs,B2,perform,eseguire
verbs,B2,plan,pianificare
verbs,B2,prepare,preparare
verbs,B2,promote,promuovere
verbs,B2,propose,proporre
verbs,B2,provide,fornire
verbs,B2,realize,realizzare
verbs,B2,recognize,riconoscere
verbs,B2,reduce,ridurre
verbs,B2,reflect,riferire
verbs,B2,reinforce,rafforzare
verbs,B2,relate,riferire
verbs,B2,remind,ricordare
verbs,B2,represent,rappresentare
verbs,B2,respond,rispondere
verbs,B2,review,rivedere
verbs,B2,revise,revisionare
verbs,B2,select,selezionare
verbs,B2,simplify,semplificare
verbs,B2,specify,specificare
verbs,B2,stimulate,stimolare
verbs,B2,strategize,strategizzare
verbs,B2,suggest,suggerire
verbs,B2,summarize,sommario
verbs,B2,support,sostenere
verbs,B2,transform,trasformare
verbs,B2,understand,comprendere
verbs,B2,utilize,utilizzare
verbs,B2,verify,verificare
verbs,B2,visualize,visualizzare
verbs,B2,volunteer,offrire volontariamente
verbs,B2,withdraw,ritirare
verbs,B2,accommodate,accogliere/adeguare
verbs,B2,allocate,assegnare
verbs,B2,anticipate,prevedere
verbs,B2,appreciate,apprezzare
verbs,B2,articulate,articolare
verbs,B2,assimilate,assimilare
verbs,B2,broaden,allargare/ampliare
verbs,B2,consolidate,consolidare
verbs,B2,diversify,diversificare
verbs,B2,enhance,migliorare/potenziare
verbs,B2,anticipate,prevedere
nouns,B2,accommodation,alloggio
nouns,B2,analysis,analisi
nouns,B2,approach,approccio
nouns,B2,assessment,valutazione
nouns,B2,benefit,beneficio
nouns,B2,challenge,sfida
nouns,B2,concept,concetto
nouns,B2,consequence,conseguenza
nouns,B2,context,contesto
nouns,B2,contribution,contributo
nouns,B2,debate,discussione
nouns,B2,definition,definizione
nouns,B2,development,sviluppo
nouns,B2,discovery,scoperta
nouns,B2,efficiency,efficienza
nouns,B2,environment,ambiente
nouns,B2,experience,esperienza
nouns,B2,feedback,riscontro
nouns,B2,goal,obiettivo
nouns,B2,impact,impatto
nouns,B2,importance,importanza
nouns,B2,improvement,miglioramento
nouns,B2,individual,individuo
nouns,B2,information,informazione
nouns,B2,initiative,iniziativa
nouns,B2,interpretation,interpretazione
nouns,B2,knowledge,conoscenza
nouns,B2,method,metodo
nouns,B2,opinion,opinione
nouns,B2,opportunity,opportunità
nouns,B2,performance,prestazione
nouns,B2,policy,piano/politica
nouns,B2,processo,processo
nouns,B2,progress,progresso
nouns,B2,quality,qualità
nouns,B2,quantity,quantità
nouns,B2,relationship,relazione
nouns,B2,requirement,esigenza
nouns,B2,resource,risorsa
nouns,B2,solution,soluzione
nouns,B2,structure,struttura
nouns,B2,success,succeso
nouns,B2,technology,tecnologia
nouns,B2,trend,tendenza
nouns,B2,value,valore
nouns,B2,vision,visione
nouns,B2,analysis,analisi
nouns,B2,approach,approccio
nouns,B2,assessment,valutazione
nouns,B2,benefit,beneficio
nouns,B2,challenge,sfida
nouns,B2,concept,concetto
nouns,B2,consequence,conseguenza
nouns,B2,context,contesto
nouns,B2,contribution,contributo
nouns,B2,debate,discussione
nouns,B2,definition,definizione
nouns,B2,development,sviluppo
nouns,B2,discovery,scoperta
nouns,B2,efficiency,efficienza
nouns,B2,environment,ambiente
nouns,B2,experience,esperienza
nouns,B2,feedback,riscontro
nouns,B2,goal,obiettivo
nouns,B2,impact,impatto
nouns,B2,importance,importanza
nouns,B2,improvement,miglioramento
nouns,B2,individual,individuo
nouns,B2,information,informazione
nouns,B2,initiative,iniziativa
nouns,B2,interpretation,interpretazione
nouns,B2,knowledge,conoscenza
nouns,B2,method,metodo
nouns,B2,opinion,opinione
nouns,B2,opportunity,opportunità
nouns,B2,performance,prestazione
nouns,B2,policy,piano/politica
nouns,B2,processo,processo
nouns,B2,progress,progresso
nouns,B2,quality,qualità
nouns,B2,quantity,quantità
nouns,B2,relationship,relazione
nouns,B2,requirement,esigenza
nouns,B2,resource,risorsa
nouns,B2,solution,soluzione
nouns,B2,structure,struttura
nouns,B2,success,succeso
nouns,B2,technology,tecnologia
nouns,B2,trend,tendenza
nouns,B2,value,valore
nouns,B2,vision,visione
nouns,B2,agreement,accordo
nouns,B2,challenge,sfida
nouns,B2,commitment,impegno
nouns,B2,controversy,controversia
nouns,B2,discipline,disciplina
nouns,B2,influence,influenza
nouns,B2,priority,priorità
nouns,B2,initiative,iniziativa
nouns,B2,insight,intuizione

