Category,Level,English,Italian
adjectives,C1,abstruse,oscuro/difficile da comprendere
adjectives,C1,acerbic,acerbo/pungente
adjectives,C1,altruistic,altruista
adjectives,C1,arduous,faticoso
adjectives,C1,astute,astuto
adjectives,C1,boisterous,rumoroso
adjectives,C1,capricious,capriccioso
adjectives,C1,coherent,coerente
adjectives,C1,convoluted,complicato/articolato
adjectives,C1,deleterious,dannoso
adjectives,C1,discerning,lungimirante/perspicace
adjectives,C1,eclectic,eclettico
adjectives,C1,elusive,elusivo
adjectives,C1,empathetic,empatico
adjectives,C1,erratic,irregolare/incostante
adjectives,C1,exemplary,esemplare
adjectives,C1,facetious,ironico/scherzoso
adjectives,C1,fastidious,meticoloso/esigente
adjectives,C1,flamboyant,appariscente
adjectives,C1,fortuitous,fortuito
adjectives,C1,garrulous,loquace
adjectives,C1,gregarious,socievole
adjectives,C1,hapless,sfortunato
adjectives,C1,impeccable,impeccabile
adjectives,C1,incongruous,incongruente
adjectives,C1,insidious,subdolo
adjectives,C1,insolent,insolente
adjectives,C1,inveterate,incallito
adjectives,C1,judicious,saggio/giudizioso
adjectives,C1,luminous,luminoso
adjectives,C1,meticulous,meticoloso
adjectives,C1,mundane,banale/ordinario
adjectives,C1,nefarious,nefasto
adjectives,C1,obstinate,ostinato
adjectives,C1,penitent,penitente
adjectives,C1,pervasive,pervasivo
adjectives,C1,pragmatic,pragmatico
adjectives,C1,precocious,precocemente dotato
adjectives,C1,quixotic,idealista/irrealistico
adjectives,C1,reticent,riservato
adjectives,C1,robust,robusto
adjectives,C1,sagacious,saggio/acuto
adjectives,C1,sardonic,sardonico
adjectives,C1,scintillating,brillante/arguto
adjectives,C1,serendipitous,fortunato/inaspettato
adjectives,C1,spurious,falso/ingannevole
adjectives,C1,staid,serio/riguardoso
adjectives,C1,stoic,stoico
adjectives,C1,superfluous,superfluo
adjectives,C1,tenacious,tenace
adjectives,C1,trepidatious,ansioso/preoccupato
adjectives,C1,ubiquitous,onnipresente
adjectives,C1,unscrupulous,senza scrupoli
adjectives,C1,venerable,venerabile
adjectives,C1,vindictive,vendicativo
adjectives,C1,voracious,vorace
adjectives,C1,wary,attento/cauto
adjectives,C1,whimsical,capriccioso/stravagante
adjectives,C1,zealous,zelante
adjectives,C1,altruistic,altruista
adjectives,C1,ambivalent,ambivalente
adjectives,C1,apathetic,apatetico
adjectives,C1,arbitrary,arbitrario
adjectives,C1,arduous,faticoso
adjectives,C1,astute,astuto
adjectives,C1,bellicose,bellicoso
adjectives,C1,benevolent,benigno/altruista
adjectives,C1,boisterous,rumoroso/chiassoso
adjectives,C1,brusque,scortese/ brusco
adjectives,C1,capricious,capriccioso
adjectives,C1,caustic,caustico/pungente
adjectives,C1,chimerical,illusorio/irrealistico
adjectives,C1,coherent,coerente
adjectives,C1,convoluted,complicato/articolato
adjectives,C1,crass,ottuso/insensibile
adjectives,C1,deleterious,dannoso
adjectives,C1,discerning,lungimirante/perspicace
adjectives,C1,disparate,diverso/inedito
adjectives,C1,eclectic,eclettico
adjectives,C1,elusive,elusivo
adjectives,C1,empathetic,empatico
adjectives,C1,erratic,irregolare/incostante
adjectives,C1,esoteric,esoterico
adjectives,C1,exemplary,esemplare
adjectives,C1,facetious,ironico/scherzoso
adjectives,C1,fastidious,meticoloso/esigente
adjectives,C1,flamboyant,appariscente
adjectives,C1,fortuitous,fortuito
adjectives,C1,garrulous,loquace
adjectives,C1,gregarious,socievole
adjectives,C1,hapless,sfortunato
adjectives,C1,iconoclastic,iconoclasta
adjectives,C1,impeccable,impeccabile
adjectives,C1,incongruous,incongruente
adjectives,C1,insidious,subdolo
adjectives,C1,insolent,insolente
adjectives,C1,inveterate,incallito
adjectives,C1,judicious,saggio/giudizioso
adjectives,C1,luminous,luminoso
adjectives,C1,meticulous,meticoloso
adjectives,C1,mundane,banale/ordinario
adjectives,C1,nefarious,nefasto
adjectives,C1,obstinate,ostinato
adjectives,C1,penitent,penitente
adjectives,C1,pervasive,pervasivo
adjectives,C1,pragmatic,pragmatico
adjectives,C1,precocious,precocemente dotato
adjectives,C1,quixotic,idealista/irrealistico
adjectives,C1,reticent,riservato
adjectives,C1,robust,robusto
adjectives,C1,sagacious,saggio/acuto
adjectives,C1,sardonic,sardonico
adjectives,C1,scintillating,brillante/arguto
adjectives,C1,serendipitous,fortunato/inaspettato
adjectives,C1,spurious,falso/ingannevole
adjectives,C1,staid,serio/riguardoso
adjectives,C1,stoic,stoico
adjectives,C1,superfluous,superfluo
adjectives,C1,tenacious,tenace
adjectives,C1,trepidatious,ansioso/preoccupato
adjectives,C1,ubiquitous,onnipresente
adjectives,C1,unscrupulous,senza scrupoli
adjectives,C1,venerable,venerabile
adjectives,C1,vindictive,vendicativo
adjectives,C1,voracious,vorace
adjectives,C1,wary,attento/cauto
adjectives,C1,whimsical,capriccioso/stravagante
adjectives,C1,zealous,zelante/appassionato
