level,word,synonyms
C1,abundant,plentiful;ample;copious;profuse
C1,accustomed,used to;familiar with;habituated;conditioned
C1,acquire,obtain;procure;secure;gain
C1,adamant,unyielding;inflexible;resolute;obstinate
C1,adept,skilled;expert;proficient;accomplished
C1,alleviate,relieve;ease;soothe;mitigate
C1,allude to,refer to;hint at;mention;cite
C1,amiable,friendly;affable;pleasant;cordial
C1,animosity,hostility;antagonism;resentment;enmity
C1,arduous,difficult;strenuous;taxing;demanding
C1,articulate,expressive;eloquent;coherent;lucid
C1,astonish,amaze;astound;stagger;startle
C1,attest,confirm;verify;validate;authenticate
C1,avid,enthusiastic;keen;passionate;ardent
C1,baffling,confusing;perplexing;puzzling;bewildering
C1,barren,infertile;unproductive;desolate;arid
C1,belittle,undermine;diminish;disparage;denigrate
C1,bolster,strengthen;support;reinforce;fortify
C1,brutal,cruel;harsh;merciless;barbaric
C1,candid,frank;open;honest;straightforward
C1,capture,seize;apprehend;arrest;catch
C1,chaotic,disordered;confused;turbulent;tumultuous
C1,chronic,persistent;long-lasting;enduring;constant
C1,coerce,force;compel;pressure;intimidate
C1,cohesive,unified;connected;integrated;consistent
C1,collaborate,cooperate;team up;work together;conspire
C1,commend,praise;applaud;compliment;endorse
C1,complacent,self-satisfied;content;unconcerned;smug
C1,compulsory,mandatory;obligatory;enforced;required
C1,conceive,formulate;devise;envision;imagine
C1,confer,grant;bestow;award;present
C1,conspicuous,noticeable;obvious;prominent;evident
C1,contempt,disdain;scorn;derision;disrespect
C1,contend,argue;maintain;assert;compete
C1,convey,communicate;express;articulate;transmit
C1,copious,abundant;plentiful;profuse;lavish
C1,covet,desire;crave;long for;yearn for
C1,cumbersome,awkward;unwieldy;clumsy;inefficient
C1,daunting,intimidating;discouraging;overwhelming;challenging
C1,dearth,scarcity;shortage;lack;deficiency
C1,debris,remains;fragments;detritus;rubble
C1,defer,postpone;delay;adjourn;suspend
C1,defiant,resistant;rebellious;disobedient;uncooperative
C1,delve into,investigate;explore;examine;probe
C1,demeanor,conduct;behavior;bearing;manner
C1,denounce,condemn;criticize;decry;accuse
C1,depict,portray;represent;illustrate;describe
C1,deride,mock;ridicule;scorn;disparage
C1,detrimental,harmful;damaging;adverse;deleterious
C1,devious,dishonest;cunning;crafty;duplicitous
C1,dilapidated,run-down;derelict;ramshackle;decrepit
C1,disparity,difference;inequality;imbalance;divergence
C1,dispel,banish;eliminate;scatter;drive away
C1,dissuade,discourage;deter;warn against;advise against
C1,divulge,disclose;reveal;expose;uncover
C1,docile,obedient;submissive;compliant;pliant
C1,dormant,inactive;latent;hibernating;quiescent
C1,drastic,radical;severe;extreme;dire
C1,dubious,doubtful;uncertain;skeptical;questionable
C1,elaborate,detailed;complex;thorough;intricate
C1,elicit,evoke;draw out;extract;provoke
C1,elusive,difficult to find;hard to grasp;slippery;subtle
C1,emphatic,forceful;insistent;assertive;resolute
C1,endeavor,attempt;strive;venture;undertake
C1,endorse,support;approve;back;advocate
C1,endure,withstand;persist;tolerate;bear
C1,enlighten,inform;educate;illuminate;clarify
C1,enrage,anger;infuriate;provoke;exasperate
C1,enthrall,captivate;fascinate;mesmerize;charm
C1,eradicate,eliminate;wipe out;abolish;destroy
C1,erratic,unpredictable;inconsistent;capricious;unstable
C1,escalate,intensify;increase;amplify;expand
C1,evade,avoid;elude;escape;dodge
C1,exasperate,annoy;irritate;infuriate;provoke
C1,exemplify,illustrate;demonstrate;represent;embody
C1,exorbitant,excessive;unreasonable;inflated;extortionate
C1,extravagant,wasteful;lavish;excessive;immoderate
C1,feeble,weak;frail;inadequate;ineffective
C1,feign,pretend;fake;simulate;fabricate
C1,flourish,thrive;prosper;expand;blossom
C1,forlorn,desolate;hopeless;abandoned;wretched
C1,formidable,intimidating;impressive;daunting;powerful
C1,futile,pointless;useless;ineffective;fruitless
C1,garner,collect;accumulate;amass;acquire
C1,genuine,authentic;real;true;legitimate
level,word,synonyms
C1,grapple with,struggle with;contend with;wrestle with;tackle
C1,haphazard,random;unplanned;unsystematic;chaotic
C1,hinder,obstruct;impede;hamper;block
C1,humble,modest;unassuming;meek;self-effacing
C1,illustrious,renowned;distinguished;celebrated;eminent
C1,imminent,impending;forthcoming;near;approaching
C1,immutable,unchangeable;fixed;permanent;unalterable
C1,impartial,neutral;unbiased;objective;fair
C1,implement,execute;carry out;apply;enforce
C1,impose,enforce;inflict;dictate;levy
C1,inadvertent,unintentional;accidental;unplanned;unpremeditated
C1,incessant,constant;uninterrupted;relentless;ceaseless
C1,inclination,tendency;preference;propensity;predisposition
C1,incredible,unbelievable;astonishing;extraordinary;amazing
C1,indispensable,essential;necessary;vital;crucial
C1,inevitable,unavoidable;certain;inexorable;necessary
C1,inflate,increase;exaggerate;amplify;escalate
C1,inhibit,restrain;impede;restrict;hinder
C1,innate,inborn;natural;intrinsic;inherent
C1,insight,understanding;awareness;perception;discernment
C1,instigate,provoke;initiate;incite;stimulate
C1,intentional,deliberate;purposeful;planned;premeditated
C1,intermittent,sporadic;periodic;occasional;irregular
C1,intervene,intercede;mediate;interfere;step in
C1,intrepid,brave;courageous;fearless;undaunted
C1,intricate,complex;complicated;elaborate;detailed
C1,intrigue,fascinate;interest;captivate;allure
C1,intuitive,instinctive;perceptive;natural;insightful
C1,invigorate,energize;revitalize;refresh;stimulate
C1,irrelevant,unrelated;immaterial;extraneous;inapplicable
C1,jeopardize,endanger;risk;threaten;compromise
C1,jubilant,overjoyed;elated;exultant;ecstatic
C1,keen,enthusiastic;eager;avid;passionate
C1,lament,mourn;grieve;deplore;bemoan
C1,latent,dormant;hidden;potential;undeveloped
C1,lucrative,profitable;rewarding;advantageous;gainful
C1,manipulate,exploit;control;influence;maneuver
C1,meticulous,careful;precise;thorough;scrupulous
C1,microscopic,tiny;minute;minuscule;infinitesimal
C1,mock,imitate;ridicule;deride;satirize
C1,modest,unassuming;humble;moderate;reserved
C1,mundane,ordinary;commonplace;routine;prosaic
C1,mutual,reciprocal;shared;common;joint
C1,negligible,insignificant;trivial;minor;slight
C1,nominal,token;minimal;small;figurative
C1,nurture,foster;encourage;cultivate;support
C1,oblivious,unaware;ignorant;forgetful;heedless
C1,obscure,unclear;unknown;hidden;ambiguous
C1,obsolete,outdated;archaic;old-fashioned;antiquated
C1,omit,leave out;exclude;neglect;overlook
C1,opulent,luxurious;lavish;extravagant;rich
C1,ornate,decorated;embellished;elaborate;intricate
C1,overwhelm,overpower;crush;bury;engulf
C1,palliate,alleviate;ease;soothe;mitigate
C1,paradox,contradiction;inconsistency;absurdity;enigma
C1,partisan,bias;supporter;factional;prejudiced
C1,perceive,discern;recognize;detect;notice
C1,peril,danger;risk;hazard;jeopardy
C1,perpetuate,maintain;preserve;continue;sustain
C1,pertinent,relevant;applicable;appropriate;germane
C1,plausible,credible;believable;reasonable;likely
C1,poignant,emotional;touching;moving;affecting
C1,precarious,unstable;risky;uncertain;dangerous
C1,preclude,prevent;hinder;prohibit;obstruct
C1,precocious,advanced;early-developing;forward;talented
C1,prodigious,enormous;immense;remarkable;extraordinary
C1,proficient,skilled;adept;competent;capable
C1,prolific,productive;fruitful;abundant;creative
C1,prominent,important;notable;conspicuous;celebrated
C1,propagate,spread;disseminate;promote;publicize
C1,prosper,thrive;flourish;succeed;advance
C1,prudent,cautious;wise;judicious;careful
C1,quaint,attractive;charming;peculiar;picturesque
C1,quell,suppress;subdue;put down;restrain
C1,radical,extreme;drastic;revolutionary;profound
C1,rapturous,ecstatic;elated;overjoyed;thrilled
C1,rebuff,reject;refuse;repel;snub
C1,recalcitrant,defiant;uncooperative;resistant;stubborn
C1,refute,disprove;deny;contradict;challenge
C1,reinforce,strengthen;support;bolster;fortify
C1,relentless,unrelenting;persistent;inexorable;continuous
C1,remorse,regret;guilt;contrition;penitence
C1,resilient,strong;adaptable;tough;flexible
C1,revere,respect;admire;honor;esteem
