level,verb,tense,1s,2s,3s,1p,2p,3p
A1,be,present_simple,am,are,is,are,are,are
A1,have,present_simple,have,have,has,have,have,have
A1,do,present_simple,do,do,does,do,do,do
A1,go,present_simple,go,go,goes,go,go,go
A1,play,present_simple,play,play,plays,play,play,play
A1,like,present_simple,like,like,likes,like,like,like
A1,love,present_simple,love,love,loves,love,love,love
A1,make,present_simple,make,make,makes,make,make,make
A1,eat,present_simple,eat,eat,eats,eat,eat,eat
A1,drink,present_simple,drink,drink,drinks,drink,drink,drink
A1,read,present_simple,read,read,reads,read,read,read
A1,write,present_simple,write,write,writes,write,write,write
A1,speak,present_simple,speak,speak,speaks,speak,speak,speak
A1,say,present_simple,say,say,says,say,say,say
A1,listen,present_simple,listen,listen,listens,listen,listen,listen
A1,hear,present_simple,hear,hear,hears,hear,hear,hear
A1,see,present_simple,see,see,sees,see,see,see
A1,look,present_simple,look,look,looks,look,look,look
A1,watch,present_simple,watch,watch,watches,watch,watch,watch
A1,come,present_simple,come,come,comes,come,come,come
A1,take,present_simple,take,take,takes,take,take,take
A1,give,present_simple,give,give,gives,give,give,give
A1,get,present_simple,get,get,gets,get,get,get
A1,put,present_simple,put,put,puts,put,put,put
A1,open,present_simple,open,open,opens,open,open,open
A1,close,present_simple,close,close,closes,close,close,close
A1,live,present_simple,live,live,lives,live,live,live
A1,work,present_simple,work,work,works,work,work,work
A1,study,present_simple,study,study,studies,study,study,study
A1,learn,present_simple,learn,learn,learns,learn,learn,learn
A1,know,present_simple,know,know,knows,know,know,know
A1,want,present_simple,want,want,wants,want,want,want
A1,need,present_simple,need,need,needs,need,need,need
A1,can,present_simple,can,can,can,can,can,can
A1,will,present_simple,will,will,will,will,will,will
A1,help,present_simple,help,help,helps,help,help,help
A1,use,present_simple,use,use,uses,use,use,use
A1,run,present_simple,run,run,runs,run,run,run
A1,walk,present_simple,walk,walk,walks,walk,walk,walk
A1,sleep,present_simple,sleep,sleep,sleeps,sleep,sleep,sleep
