level,verb,meaning
C2,account for,explain or justify
C2,adhere to,follow rules or guidelines strictly
C2,amount to,be equal to or result in
C2,attend to,dear with or give attention to
C2,base on,use as a foundation
C2,boil down to,be the main point or essence
C2,branch out,expand into new areas
C2,break into,successfully enter a new market or field
C2,build up,increase gradually
C2,carry out,perform or conduct
C2,cast off,get rid of something unnecessary
C2,centre on,focus on
C2,cling to,resist giving up
C2,come down with,fall ill with
C2,come in for,receive (especially criticism or blame)
C2,come under,experience something unpleasant like attack or criticism
C2,consist of,be made up of
C2,contribute to,help bring about
C2,cover up,hide the truth about something
C2,cut down on,reduce consumption
C2,devote to,dedicate to
C2,draw upon,make use of resources
C2,engage in,take part in
C2,enter upon,begin officially
C2,exert on,apply influence or pressure
C2,face up to,accept and deal with something difficult
C2,fit in with,be suitable or consistent with
C2,focus on,concentrate attention on
C2,gear towards,be designed for a particular purpose
C2,get around,avoid or overcome
C2,get through to,succeed in making someone understand
C2,go against,oppose
C2,go into,examine in detail
C2,head for,move in the direction of
C2,hinge on,depend on
C2,hold to,insist on or stick to
C2,impose on,force something on someone
C2,improve on,do better than something
C2,keep pace with,move or develop at the same rate
C2,lay down,establish rules or conditions
C2,lead up to,be an introduction to something
C2,leave out,omit
C2,level with,be honest with someone
C2,link up with,connect with
C2,look beyond,consider more than the obvious
C2,look down on,consider inferior
C2,look into,investigate
C2,look up to,admire
C2,measure up to,be good enough
C2,open up,create opportunities or reveal something hidden
C2,opt out of,choose not to participate
C2,pass on to,transfer to someone else
C2,phase out,gradually stop using
C2,play down,make something seem less important
C2,point to,indicate or suggest
C2,press for,demand strongly
C2,provide for,make arrangements for
C2,put across,explain clearly
C2,put forward,propose an idea
C2,put through,cause someone to undergo something difficult
C2,reckon on,expect or anticipate
C2,reflect on,think carefully about
C2,relate to,connect with or understand
C2,rest with,be the responsibility of
C2,result in,cause a particular outcome
C2,root out,find and remove completely
C2,rule out,exclude as a possibility
C2,run through,quickly explain or rehearse
C2,settle for,accept something less than ideal
C2,act up,behave badly or not work properly
C2,answer for,be responsible or accountable for something
C2,ask after,inquire about someone’s health or situation
C2,back onto,have the rear of a property facing something
C2,ball up,confuse or ruin something
C2,beaver away,work hard and continuously
C2,bear on,be relevant to
C2,beaver something out,discover something with effort
C2,belly up,fail completely (esp. business)
C2,blurt out,say something suddenly without thinking
C2,buckle down,start working seriously
C2,build on,use success as a base for further progress
C2,bulk up,increase in size or strength
C2,butt in,interrupt a conversation
C2,call on,formally request or demand
C2,carve out,establish a reputation or career through effort
C2,cast aside,reject or disregard
C2,clamp down on,to act strictly to prevent something
C2,close in on,to move nearer to someone or something, often threateningly
C2,come about,to happen or occur
C2,come along,to improve or develop
C2,come apart,to break into pieces
C2,come around,to change one’s opinion or recover consciousness
C2,come forward,to volunteer or present oneself
C2,conjure up,to bring to mind or create as an image
C2,cough up,to reluctantly give money or information
C2,crack down on,to take severe action against
C2,creep in,gradually start to be noticeable
C2,creep up on,to approach without being noticed
C2,cut across,to affect different groups or areas equally
C2,cut out for,to be suited for a particular task or role
C2,die down,to become quieter or less intense
C2,dispense with,to manage without something
C2,drag on,to last longer than expected
C2,draw up,to prepare an official document
C2,dwell on,to think or talk too much about something
C2,eat away at,to gradually damage or erode
C2,egg on,to encourage someone to do something foolish
C2,embark on,to start a major project or activity
C2,enter into,to take part in a formal agreement or discussion
C2,fall back on,to rely on when other things fail
C2,fall in with,to agree with or join others
C2,fall out with,to argue and stop being friendly
C2,feed off,to gain strength or advantage from something
C2,ferret out,to discover something after searching
C2,fight back,to defend yourself or resist
C2,figure against,to count something as a disadvantage
C2,fizzle out,to gradually fail or end weakly
C2,flesh out,to add more details
C2,fritter away,to waste time or money on unimportant things
C2,get ahead,to progress or succeed
C2,get at,to imply or criticise indirectly
C2,get by,to manage to survive
C2,get down on,to criticise someone unfairly
C2,get round to,to finally do something after delay
C2,get stuck into,to start doing something with energy
C2,get wound up,to become upset or angry
C2,give in to,to surrender or yield
C2,give off,to emit (smell, light, heat)
C2,give out,to distribute or stop working
C2,gloss over,to avoid talking about something unpleasant
C2,gnaw at,to worry or trouble continuously
C2,grind away,to keep working hard at something difficult
C2,grow on,to gradually become liked
C2,hammer out,to reach an agreement after discussion
C2,hand down,to pass something to the next generation
C2,hash out,to discuss something thoroughly
C2,hold back,to restrain or hesitate
C2,hone in on,to move towards or focus on something
C2,key in,to enter data by keyboard
C2,knuckle down,to begin to work hard
C2,lash out,to suddenly attack or criticise
C2,lay into,to criticise or attack strongly
C2,lay out,to explain clearly or arrange
C2,leaf through,to look at pages quickly
C2,level off,to stop rising or falling and remain steady
C2,live down,to make people forget a mistake by behaving well
C2,lock horns,to get into an argument or conflict
