level,verb,tense,1s,2s,3s,1p,2p,3p
B2,Abolish,Present Simple,I abolish,you abolish,he/she/it abolishes,we abolish,you abolish,they abolish
B2,Abolish,Present Continuous,I am abolishing,you are abolishing,he/she/it is abolishing,we are abolishing,you are abolishing,they are abolishing
B2,Abolish,Present Perfect,I have abolished,you have abolished,he/she/it has abolished,we have abolished,you have abolished,they have abolished
B2,Abolish,Present Perfect Continuous,I have been abolishing,you have been abolishing,he/she/it has been abolishing,we have been abolishing,you have been abolishing,they have been abolishing
B2,Abolish,Past Simple,I abolished,you abolished,he/she/it abolished,we abolished,you abolished,they abolished
B2,Abolish,Past Continuous,I was abolishing,you were abolishing,he/she/it was abolishing,we were abolishing,you were abolishing,they were abolishing
B2,Abolish,Past Perfect Simple,I had abolished,you had abolished,he/she/it had abolished,we had abolished,you had abolished,they had abolished
B2,Abolish,Past Perfect Continuous,I had been abolishing,you had been abolishing,he/she/it had been abolishing,we had been abolishing,you had been abolishing,they had been abolishing
B2,Abolish,Future Simple,I will abolish,you will abolish,he/she/it will abolish,we will abolish,you will abolish,they will abolish
B2,Abolish,Future Continuous,I will be abolishing,you will be abolishing,he/she/it will be abolishing,we will be abolishing,you will be abolishing,they will be abolishing
B2,Abolish,Future Perfect Simple,I will have abolished,you will have abolished,he/she/it will have abolished,we will have abolished,you will have abolished,they will have abolished
B2,Abolish,Future Perfect Continuous,I will have been abolishing,you will have been abolishing,he/she/it will have been abolishing,we will have been abolishing,you will have been abolishing,they will have been abolishing
B2,Accomplish,Present Simple,I accomplish,you accomplish,he/she/it accomplishes,we accomplish,you accomplish,they accomplish
B2,Accomplish,Present Continuous,I am accomplishing,you are accomplishing,he/she/it is accomplishing,we are accomplishing,you are accomplishing,they are accomplishing
B2,Accomplish,Present Perfect,I have accomplished,you have accomplished,he/she/it has accomplished,we have accomplished,you have accomplished,they have accomplished
B2,Accomplish,Present Perfect Continuous,I have been accomplishing,you have been accomplishing,he/she/it has been accomplishing,we have been accomplishing,you have been accomplishing,they have been accomplishing
B2,Accomplish,Past Simple,I accomplished,you accomplished,he/she/it accomplished,we accomplished,you accomplished,they accomplished
B2,Accomplish,Past Continuous,I was accomplishing,you were accomplishing,he/she/it was accomplishing,we were accomplishing,you were accomplishing,they were accomplishing
B2,Accomplish,Past Perfect Simple,I had accomplished,you had accomplished,he/she/it had accomplished,we had accomplished,you had accomplished,they had accomplished
B2,Accomplish,Past Perfect Continuous,I had been accomplishing,you had been accomplishing,he/she/it had been accomplishing,we had been accomplishing,you had been accomplishing,they had been accomplishing
B2,Accomplish,Future Simple,I will accomplish,you will accomplish,he/she/it will accomplish,we will accomplish,you will accomplish,they will accomplish
B2,Accomplish,Future Continuous,I will be accomplishing,you will be accomplishing,he/she/it will be accomplishing,we will be accomplishing,you will be accomplishing,they will be accomplishing
B2,Accomplish,Future Perfect Simple,I will have accomplished,you will have accomplished,he/she/it will have accomplished,we will have accomplished,you will have accomplished,they will have accomplished
B2,Accomplish,Future Perfect Continuous,I will have been accomplishing,you will have been accomplishing,he/she/it will have been accomplishing,we will have been accomplishing,you will have been accomplishing,they will have been accomplishing
B2,Admit,Present Simple,I admit,you admit,he/she/it admits,we admit,you admit,they admit
B2,Admit,Present Continuous,I am admitting,you are admitting,he/she/it is admitting,we are admitting,you are admitting,they are admitting
B2,Admit,Present Perfect,I have admitted,you have admitted,he/she/it has admitted,we have admitted,you have admitted,they have admitted
B2,Admit,Present Perfect Continuous,I have been admitting,you have been admitting,he/she/it has been admitting,we have been admitting,you have been admitting,they have been admitting
B2,Admit,Past Simple,I admitted,you admitted,he/she/it admitted,we admitted,you admitted,they admitted
B2,Admit,Past Continuous,I was admitting,you were admitting,he/she/it was admitting,we were admitting,you were admitting,they were admitting
B2,Admit,Past Perfect Simple,I had admitted,you had admitted,he/she/it had admitted,we had admitted,you had admitted,they had admitted
B2,Admit,Past Perfect Continuous,I had been admitting,you had been admitting,he/she/it had been admitting,we had been admitting,you had been admitting,they had been admitting
B2,Admit,Future Simple,I will admit,you will admit,he/she/it will admit,we will admit,you will admit,they will admit
B2,Admit,Future Continuous,I will be admitting,you will be admitting,he/she/it will be admitting,we will be admitting,you will be admitting,they will be admitting
B2,Admit,Future Perfect Simple,I will have admitted,you will have admitted,he/she/it will have admitted,we will have admitted,you will have admitted,they will have admitted
B2,Admit,Future Perfect Continuous,I will have been admitting,you will have been admitting,he/she/it will have been admitting,we will have been admitting,you will have been admitting,they will have been admitting
B2,Advise,Present Simple,I advise,you advise,he/she/it advises,we advise,you advise,they advise
B2,Advise,Present Continuous,I am advising,you are advising,he/she/it is advising,we are advising,you are advising,they are advising
B2,Advise,Present Perfect,I have advised,you have advised,he/she/it has advised,we have advised,you have advised,they have advised
B2,Advise,Present Perfect Continuous,I have been advising,you have been advising,he/she/it has been advising,we have been advising,you have been advising,they have been advising
